"Kod";"Nazwa";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2016;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2017;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2018;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2019;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2020;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2021;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2022;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2023;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - napływ;2024;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2016;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2017;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2018;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2019;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2020;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2021;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2022;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2023;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - imigracja;2024;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2016;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2017;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2018;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2019;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2020;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2021;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2022;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2023;[osoba]";"pierwsze półrocze;migracje wewnętrzne na pobyt stały - odpływ;2024;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2016;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2017;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2018;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2019;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2020;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2021;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2022;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2023;[osoba]";"pierwsze półrocze;migracje zagraniczne na pobyt stały - emigracja;2024;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2016;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2017;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2018;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2019;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2020;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2021;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2022;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2023;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2024;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2016;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2017;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2018;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2019;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2020;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2021;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2022;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2023;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2024;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2016;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2017;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2018;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2019;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2020;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2021;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2022;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2023;[osoba]";"rok;migracje wewnętrzne na pobyt stały - napływ;2024;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2016;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2017;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2018;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2019;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2020;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2021;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2022;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2023;[osoba]";"rok;migracje zagraniczne na pobyt stały - imigracja;2024;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2016;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2017;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2018;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2019;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2020;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2021;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2022;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2023;[osoba]";"rok;migracje wewnętrzne na pobyt stały - odpływ;2024;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2016;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2017;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2018;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2019;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2020;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2021;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2022;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2023;[osoba]";"rok;migracje zagraniczne na pobyt stały - emigracja;2024;[osoba]";"rok;saldo migracji wewnętrznych;2016;[osoba]";"rok;saldo migracji wewnętrznych;2017;[osoba]";"rok;saldo migracji wewnętrznych;2018;[osoba]";"rok;saldo migracji wewnętrznych;2019;[osoba]";"rok;saldo migracji wewnętrznych;2020;[osoba]";"rok;saldo migracji wewnętrznych;2021;[osoba]";"rok;saldo migracji wewnętrznych;2022;[osoba]";"rok;saldo migracji wewnętrznych;2023;[osoba]";"rok;saldo migracji wewnętrznych;2024;[osoba]";"rok;saldo migracji zagranicznych;2016;[osoba]";"rok;saldo migracji zagranicznych;2017;[osoba]";"rok;saldo migracji zagranicznych;2018;[osoba]";"rok;saldo migracji zagranicznych;2019;[osoba]";"rok;saldo migracji zagranicznych;2020;[osoba]";"rok;saldo migracji zagranicznych;2021;[osoba]";"rok;saldo migracji zagranicznych;2022;[osoba]";"rok;saldo migracji zagranicznych;2023;[osoba]";"rok;saldo migracji zagranicznych;2024;[osoba]";
0000000;"POLSKA";203979;202763;222439;237321;197219;220011;222289;190638;258382;6554;5858;7013;7521;5573;6488;7464;7393;9819;203979;202763;222439;237321;197219;220011;222289;190638;258382;5459;5766;5704;5181;2805;4575;7033;5050;5533;0;0;0;0;0;0;0;0;0;1095;92;1309;2340;2768;1913;431;2343;4286;405452;428166;481259;499736;408680;456552;433635;430997;455899;13475;13324;15461;16909;13263;15409;15572;16707;19515;405452;428166;481259;499736;408680;456552;433635;430997;455899;11970;11888;11849;10726;8780;12005;13633;9941;10214;0;0;0;0;0;0;0;0;0;1505;1436;3612;6183;4483;3404;1939;6766;9301;
0200000;"DOLNOŚLĄSKIE";18533;19007;20932;22172;19540;21130;21302;18637;25771;601;560;700;704;563;601;602;615;813;17121;17801;19306;20066;17814;19445;19354;16919;23486;522;556;593;454;239;372;704;490;664;1412;1206;1626;2106;1726;1685;1948;1718;2285;79;4;107;250;324;229;-102;125;149;36396;39094;44229;46525;38879;43030;40579;41295;43362;1243;1262;1589;1636;1352;1316;1250;1345;1549;33737;36499;41029;42310;35584;39725;36884;37678;39783;1093;1074;1077;1012;803;1051;1356;919;1130;2659;2595;3200;4215;3295;3305;3695;3617;3579;150;188;512;624;549;265;-106;426;419;
0400000;"KUJAWSKO-POMORSKIE";10198;9698;10468;11320;9529;10763;11118;9071;12274;284;247;232;291;214;216;237;230;324;11067;10264;11655;12669;10556;11780;12054;9947;13427;204;177;215;167;134;204;346;272;247;-869;-566;-1187;-1349;-1027;-1017;-936;-876;-1153;80;70;17;124;80;12;-109;-42;77;20312;20988;23231;24107;20204;22498;21906;20733;22260;546;575;529;657;464;538;558;585;699;22031;22503;25772;27028;22316;24702;23652;22849;24249;449;364;451;402;370;523;640;493;461;-1719;-1515;-2541;-2921;-2112;-2204;-1746;-2116;-1989;97;211;78;255;94;15;-82;92;238;
0600000;"LUBELSKIE";9625;8805;9800;10285;8499;9701;10121;8585;12099;313;276;343;343;253;278;316;277;354;11847;11232;12355;13426;10906;12211;12647;10663;14958;126;136;132;175;88;167;264;203;182;-2222;-2427;-2555;-3141;-2407;-2510;-2526;-2078;-2859;187;140;211;168;165;111;52;74;172;18589;19162;21523;22047;18199;20716;19988;19146;21252;649;620;737;792;648;646;697;622;703;23041;24234;27327;28542;22884;25737;24674;23853;26446;264;279;292;328;301;391;512;383;332;-4452;-5072;-5804;-6495;-4685;-5021;-4686;-4707;-5194;385;341;445;464;347;255;185;239;371;
0800000;"LUBUSKIE";5320;5348;5715;6434;5264;5534;5622;5064;6350;201;136;195;247;192;184;264;235;343;5649;5802;6088;6885;5651;6091;6064;5452;6871;206;288;200;190;90;129;226;170;178;-329;-454;-373;-451;-387;-557;-442;-388;-521;-5;-152;-5;57;102;55;38;65;165;10657;11438;12277;12901;10759;11589;11034;10998;10875;357;320;417;533;410;451;494;451;630;11397;12226;13248;14146;11601;12657;11895;11751;11909;448;489;424;389;285;347;404;324;349;-740;-788;-971;-1245;-842;-1068;-861;-753;-1034;-91;-169;-7;144;125;104;90;127;281;
1000000;"ŁÓDZKIE";13302;12750;14336;14212;11771;13474;13753;11233;15003;299;272;285;308;206;207;263;261;366;14148;13666;15261;15439;12664;14609;14588;12100;16100;174;176;156;172;88;174;232;159;171;-846;-916;-925;-1227;-893;-1135;-835;-867;-1097;125;96;129;136;118;33;31;102;195;26196;26832;29526;29469;24279;27136;26366;24821;26956;623;548;639;651;445;522;563;576;731;27891;28793;31689;32293;26091;29418;28015;26920;28765;345;376;335;337;305;383;484;277;322;-1695;-1961;-2163;-2824;-1812;-2282;-1649;-2099;-1809;278;172;304;314;140;139;79;299;409;
1200000;"MAŁOPOLSKIE";14835;15063;16353;18599;14765;17268;17493;15394;19610;659;590;786;894;650;858;966;1007;1305;13100;13427;14514;15991;13052;15471;15776;13788;17537;516;487;465;484;332;553;779;450;503;1735;1636;1839;2608;1713;1797;1717;1606;2073;143;103;321;410;318;305;187;557;802;29587;32294;36439;39507;30958;36186;35220;34680;35932;1401;1433;1769;2013;1600;2028;1965;2288;2580;26211;28534;31597;33593;27546;32074;31667;30880;31889;1105;1087;1090;1055;1031;1324;1407;876;964;3376;3760;4842;5914;3412;4112;3553;3800;4043;296;346;679;958;569;704;558;1412;1616;
1400000;"MAZOWIECKIE";37371;37762;41915;45659;36995;40012;41138;35809;49546;1098;892;1199;1210;939;1242;1409;1433;2071;31800;32018;35414;37981;31530;34748;36145;31588;43431;161;221;188;156;126;277;409;350;352;5571;5744;6501;7678;5465;5264;4993;4221;6115;937;671;1011;1054;813;965;1000;1083;1719;73013;77849;90678;94998;74718;83763;78986;82221;86576;2150;1927;2455;2714;2160;2798;2795;3290;4119;61846;65820;75992;79221;64270;72929;69618;72004;76287;367;443;439;407;411;644;889;666;617;11167;12029;14686;15777;10448;10834;9368;10217;10289;1783;1484;2016;2307;1749;2154;1906;2624;3502;
1600000;"OPOLSKIE";4528;4429;4736;4853;4506;4762;4669;3927;5573;191;157;199;233;200;221;232;220;289;4915;4758;5129;5533;4857;5156;5047;4323;6024;454;395;442;440;268;364;531;379;475;-387;-329;-393;-680;-351;-394;-378;-396;-451;-263;-238;-243;-207;-68;-143;-299;-159;-186;9007;9389;10600;10503;9210;10109;9335;8928;9807;362;401;454;497;441;513;495;526;578;9733;10134;11291;11510;9957;10873;10067;9882;10590;1006;880;1038;942;813;1138;979;869;913;-726;-745;-691;-1007;-747;-764;-732;-954;-783;-644;-479;-584;-445;-372;-625;-484;-343;-335;
1800000;"PODKARPACKIE";8931;8777;9511;10131;8206;9565;9986;8765;10664;465;396;415;437;313;333;403;428;407;9931;9687;10776;11711;9380;10743;11177;9807;12346;298;272;249;255;137;254;358;268;317;-1000;-910;-1265;-1580;-1174;-1178;-1191;-1042;-1682;167;124;166;182;176;79;45;160;90;18010;19684;20676;22173;18336;20540;19824;18565;19592;1012;969;890;1058;801;909;898;910;922;20057;21824;23795;25635;20562;22737;22052;21229;22421;604;606;512;546;531;646;759;578;627;-2047;-2140;-3119;-3462;-2226;-2197;-2228;-2664;-2829;408;363;378;512;270;263;139;332;295;
2000000;"PODLASKIE";5256;5185;5860;5964;4989;5680;5995;5076;7062;250;226;253;283;199;259;288;282;372;5977;6119;6804;7173;5838;6553;6821;5962;8109;102;192;175;155;54;100;98;82;77;-721;-934;-944;-1209;-849;-873;-826;-886;-1047;148;34;78;128;145;159;190;200;295;10906;11227;12713;12938;10918;12201;11669;11486;12612;546;590;618;694;534;655;609;629;730;12471;13093;14994;15397;12620;13858;13195;13330;14470;268;425;351;267;150;212;226;155;146;-1565;-1866;-2281;-2459;-1702;-1657;-1526;-1844;-1858;278;165;267;427;384;443;383;474;584;
2200000;"POMORSKIE";14156;14292;16017;17420;14032;15685;15859;13130;19316;482;424;540;575;381;427;469;556;700;12461;12639;13832;14466;12121;13342;13451;11394;16434;368;457;522;351;202;283;597;387;449;1695;1653;2185;2954;1911;2343;2408;1736;2882;114;-33;18;224;179;144;-128;169;251;28338;29952;34819;35903;28584;32124;30490;31201;33571;1003;947;1142;1180;887;1039;1058;1236;1405;24853;26327;29899;29950;24759;27533;26443;26819;28702;956;986;991;797;634;870;1182;809;820;3485;3625;4920;5953;3825;4591;4047;4382;4869;47;-39;151;383;253;169;-124;427;585;
2400000;"ŚLĄSKIE";19308;18921;20729;21184;17818;20848;19699;17609;22813;626;630;653;739;498;587;668;644;750;21049;20446;22513;23303;19454;22440;21465;18742;24672;1173;1156;1161;1130;508;811;1144;837;800;-1741;-1525;-1784;-2119;-1636;-1592;-1766;-1133;-1859;-547;-526;-508;-391;-10;-224;-476;-193;-50;38414;40403;43845;45020;37579;42460;39006;39838;41042;1295;1399;1540;1630;1226;1345;1481;1449;1473;41842;43663;48076;49295;40921;46150;42598;42449;43925;2423;2385;2337;2072;1415;2138;2133;1547;1524;-3428;-3260;-4231;-4275;-3342;-3690;-3592;-2611;-2883;-1128;-986;-797;-442;-189;-793;-652;-98;-51;
2600000;"ŚWIĘTOKRZYSKIE";4804;4455;5042;5147;4258;5003;5269;4561;5981;167;151;149;147;92;124;127;119;180;5758;5619;6189;6989;5393;6120;6552;5713;7545;75;84;85;42;42;116;122;111;132;-954;-1164;-1147;-1842;-1135;-1117;-1283;-1152;-1564;92;67;64;105;50;8;5;8;48;9531;9945;11280;10916;9252;10408;10523;9550;10500;383;344;331;363;268;311;283;281;373;11502;12371;13908;14635;11395;12829;12793;12316;13255;162;143;155;106;138;218;243;213;238;-1971;-2426;-2628;-3719;-2143;-2421;-2270;-2766;-2755;221;201;176;257;130;93;40;68;135;
2800000;"WARMIŃSKO-MAZURSKIE";6972;7422;7917;8383;7411;7575;7548;6410;9513;186;173;253;231;179;168;241;188;254;8297;8670;9430;10180;8557;8739;8808;7257;10879;303;309;288;233;117;226;331;258;251;-1325;-1248;-1513;-1797;-1146;-1164;-1260;-847;-1366;-117;-136;-35;-2;62;-58;-90;-70;3;14398;15685;17794;18023;15490;16007;15205;14867;16887;435;409;560;534;448;462;485;479;525;17101;18128;21191;21794;17603;18398;17272;17070;19320;706;708;667;513;426;634;676;536;511;-2703;-2443;-3397;-3771;-2113;-2391;-2067;-2203;-2433;-271;-299;-107;21;22;-172;-191;-57;14;
3000000;"WIELKOPOLSKIE";21503;21158;22882;24734;20666;23181;22905;19123;25251;409;355;420;443;354;424;544;498;704;21106;20605;22458;24220;20037;22246;22259;18467;24604;343;359;366;363;172;313;490;336;351;397;553;424;514;629;935;646;656;647;66;-4;54;80;182;111;54;162;353;43120;44447;49387;51912;42991;47577;44718;43701;44598;821;801;916;1012;840;1017;1078;1201;1395;42137;43432;48266;50709;41500;45778;43447;42201;43215;745;673;755;755;574;816;948;672;614;983;1015;1121;1203;1491;1799;1271;1500;1383;76;128;161;257;266;201;130;529;781;
3200000;"ZACHODNIOPOMORSKIE";9337;9691;10226;10824;8970;9830;9812;8244;11556;323;373;391;436;340;359;435;400;587;9753;10010;10715;11289;9409;10317;10081;8516;11959;434;501;467;414;208;232;402;298;384;-416;-319;-489;-465;-439;-487;-269;-272;-403;-111;-128;-76;22;132;127;33;102;203;18978;19777;22242;22794;18324;20208;18786;18967;20077;649;779;875;945;739;859;863;839;1103;19602;20585;23185;23678;19071;21154;19363;19766;20673;1029;970;935;798;593;670;795;624;646;-624;-808;-943;-884;-747;-946;-577;-799;-596;-380;-191;-60;147;146;189;68;215;457;
