"Kod";"Nazwa";"pierwsze półrocze;saldo migracji wewnętrznych;2016;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2017;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2018;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2019;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2020;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2021;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2022;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2023;[osoba]";"pierwsze półrocze;saldo migracji wewnętrznych;2024;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2016;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2017;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2018;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2019;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2020;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2021;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2022;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2023;[osoba]";"pierwsze półrocze;saldo migracji zagranicznych;2024;[osoba]";"rok;saldo migracji wewnętrznych;2016;[osoba]";"rok;saldo migracji wewnętrznych;2017;[osoba]";"rok;saldo migracji wewnętrznych;2018;[osoba]";"rok;saldo migracji wewnętrznych;2019;[osoba]";"rok;saldo migracji wewnętrznych;2020;[osoba]";"rok;saldo migracji wewnętrznych;2021;[osoba]";"rok;saldo migracji wewnętrznych;2022;[osoba]";"rok;saldo migracji wewnętrznych;2023;[osoba]";"rok;saldo migracji wewnętrznych;2024;[osoba]";"rok;saldo migracji zagranicznych;2016;[osoba]";"rok;saldo migracji zagranicznych;2017;[osoba]";"rok;saldo migracji zagranicznych;2018;[osoba]";"rok;saldo migracji zagranicznych;2019;[osoba]";"rok;saldo migracji zagranicznych;2020;[osoba]";"rok;saldo migracji zagranicznych;2021;[osoba]";"rok;saldo migracji zagranicznych;2022;[osoba]";"rok;saldo migracji zagranicznych;2023;[osoba]";"rok;saldo migracji zagranicznych;2024;[osoba]";
0000000;"POLSKA";0;0;0;0;0;0;0;0;0;1095;92;1309;2340;2768;1913;431;2343;4286;0;0;0;0;0;0;0;0;0;1505;1436;3612;6183;4483;3404;1939;6766;9301;
0200000;"DOLNOŚLĄSKIE";1412;1206;1626;2106;1726;1685;1948;1718;2285;79;4;107;250;324;229;-102;125;149;2659;2595;3200;4215;3295;3305;3695;3617;3579;150;188;512;624;549;265;-106;426;419;
0400000;"KUJAWSKO-POMORSKIE";-869;-566;-1187;-1349;-1027;-1017;-936;-876;-1153;80;70;17;124;80;12;-109;-42;77;-1719;-1515;-2541;-2921;-2112;-2204;-1746;-2116;-1989;97;211;78;255;94;15;-82;92;238;
0600000;"LUBELSKIE";-2222;-2427;-2555;-3141;-2407;-2510;-2526;-2078;-2859;187;140;211;168;165;111;52;74;172;-4452;-5072;-5804;-6495;-4685;-5021;-4686;-4707;-5194;385;341;445;464;347;255;185;239;371;
0800000;"LUBUSKIE";-329;-454;-373;-451;-387;-557;-442;-388;-521;-5;-152;-5;57;102;55;38;65;165;-740;-788;-971;-1245;-842;-1068;-861;-753;-1034;-91;-169;-7;144;125;104;90;127;281;
1000000;"ŁÓDZKIE";-846;-916;-925;-1227;-893;-1135;-835;-867;-1097;125;96;129;136;118;33;31;102;195;-1695;-1961;-2163;-2824;-1812;-2282;-1649;-2099;-1809;278;172;304;314;140;139;79;299;409;
1200000;"MAŁOPOLSKIE";1735;1636;1839;2608;1713;1797;1717;1606;2073;143;103;321;410;318;305;187;557;802;3376;3760;4842;5914;3412;4112;3553;3800;4043;296;346;679;958;569;704;558;1412;1616;
1400000;"MAZOWIECKIE";5571;5744;6501;7678;5465;5264;4993;4221;6115;937;671;1011;1054;813;965;1000;1083;1719;11167;12029;14686;15777;10448;10834;9368;10217;10289;1783;1484;2016;2307;1749;2154;1906;2624;3502;
1600000;"OPOLSKIE";-387;-329;-393;-680;-351;-394;-378;-396;-451;-263;-238;-243;-207;-68;-143;-299;-159;-186;-726;-745;-691;-1007;-747;-764;-732;-954;-783;-644;-479;-584;-445;-372;-625;-484;-343;-335;
1800000;"PODKARPACKIE";-1000;-910;-1265;-1580;-1174;-1178;-1191;-1042;-1682;167;124;166;182;176;79;45;160;90;-2047;-2140;-3119;-3462;-2226;-2197;-2228;-2664;-2829;408;363;378;512;270;263;139;332;295;
2000000;"PODLASKIE";-721;-934;-944;-1209;-849;-873;-826;-886;-1047;148;34;78;128;145;159;190;200;295;-1565;-1866;-2281;-2459;-1702;-1657;-1526;-1844;-1858;278;165;267;427;384;443;383;474;584;
2200000;"POMORSKIE";1695;1653;2185;2954;1911;2343;2408;1736;2882;114;-33;18;224;179;144;-128;169;251;3485;3625;4920;5953;3825;4591;4047;4382;4869;47;-39;151;383;253;169;-124;427;585;
2400000;"ŚLĄSKIE";-1741;-1525;-1784;-2119;-1636;-1592;-1766;-1133;-1859;-547;-526;-508;-391;-10;-224;-476;-193;-50;-3428;-3260;-4231;-4275;-3342;-3690;-3592;-2611;-2883;-1128;-986;-797;-442;-189;-793;-652;-98;-51;
2600000;"ŚWIĘTOKRZYSKIE";-954;-1164;-1147;-1842;-1135;-1117;-1283;-1152;-1564;92;67;64;105;50;8;5;8;48;-1971;-2426;-2628;-3719;-2143;-2421;-2270;-2766;-2755;221;201;176;257;130;93;40;68;135;
2800000;"WARMIŃSKO-MAZURSKIE";-1325;-1248;-1513;-1797;-1146;-1164;-1260;-847;-1366;-117;-136;-35;-2;62;-58;-90;-70;3;-2703;-2443;-3397;-3771;-2113;-2391;-2067;-2203;-2433;-271;-299;-107;21;22;-172;-191;-57;14;
3000000;"WIELKOPOLSKIE";397;553;424;514;629;935;646;656;647;66;-4;54;80;182;111;54;162;353;983;1015;1121;1203;1491;1799;1271;1500;1383;76;128;161;257;266;201;130;529;781;
3200000;"ZACHODNIOPOMORSKIE";-416;-319;-489;-465;-439;-487;-269;-272;-403;-111;-128;-76;22;132;127;33;102;203;-624;-808;-943;-884;-747;-946;-577;-799;-596;-380;-191;-60;147;146;189;68;215;457;
