"Kod";"Nazwa";"1 kwartał;ogółem;2016;[-]";"1 kwartał;ogółem;2017;[-]";"1 kwartał;ogółem;2018;[-]";"1 kwartał;ogółem;2019;[-]";"1 kwartał;ogółem;2020;[-]";"1 kwartał;ogółem;2021;[-]";"1 kwartał;ogółem;2022;[-]";"1 kwartał;ogółem;2023;[-]";"1 kwartał;ogółem;2024;[-]";"2 kwartał;ogółem;2016;[-]";"2 kwartał;ogółem;2017;[-]";"2 kwartał;ogółem;2018;[-]";"2 kwartał;ogółem;2019;[-]";"2 kwartał;ogółem;2020;[-]";"2 kwartał;ogółem;2021;[-]";"2 kwartał;ogółem;2022;[-]";"2 kwartał;ogółem;2023;[-]";"2 kwartał;ogółem;2024;[-]";"pierwsze półrocze;ogółem;2016;[-]";"pierwsze półrocze;ogółem;2017;[-]";"pierwsze półrocze;ogółem;2018;[-]";"pierwsze półrocze;ogółem;2019;[-]";"pierwsze półrocze;ogółem;2020;[-]";"pierwsze półrocze;ogółem;2021;[-]";"pierwsze półrocze;ogółem;2022;[-]";"pierwsze półrocze;ogółem;2023;[-]";"pierwsze półrocze;ogółem;2024;[-]";"3 kwartał;ogółem;2016;[-]";"3 kwartał;ogółem;2017;[-]";"3 kwartał;ogółem;2018;[-]";"3 kwartał;ogółem;2019;[-]";"3 kwartał;ogółem;2020;[-]";"3 kwartał;ogółem;2021;[-]";"3 kwartał;ogółem;2022;[-]";"3 kwartał;ogółem;2023;[-]";"3 kwartał;ogółem;2024;[-]";"4 kwartał;ogółem;2016;[-]";"4 kwartał;ogółem;2017;[-]";"4 kwartał;ogółem;2018;[-]";"4 kwartał;ogółem;2019;[-]";"4 kwartał;ogółem;2020;[-]";"4 kwartał;ogółem;2021;[-]";"4 kwartał;ogółem;2022;[-]";"4 kwartał;ogółem;2023;[-]";"4 kwartał;ogółem;2024;[-]";"rok;ogółem;2016;[-]";"rok;ogółem;2017;[-]";"rok;ogółem;2018;[-]";"rok;ogółem;2019;[-]";"rok;ogółem;2020;[-]";"rok;ogółem;2021;[-]";"rok;ogółem;2022;[-]";"rok;ogółem;2023;[-]";"rok;ogółem;2024;[-]";
0000000;"POLSKA";15239;16753;17310;16732;12784;16215;15025;15101;14727;17922;17232;16509;16793;6451;15438;16216;14906;15238;33161;33985;33819;33525;19235;31653;31241;30007;29965;11995;11843;11729;12677;14195;12199;11774;10514;11257;18341;19429;17295;19139;17734;16835;17147;16371;16241;63497;65257;62843;65341;51164;60687;60162;56892;57463;
0200000;"DOLNOŚLĄSKIE";1190;1639;1625;1532;1221;1409;1315;1287;1106;1428;1557;1352;1474;673;1305;1457;1307;1205;2618;3196;2977;3006;1894;2714;2772;2594;2311;990;1106;1097;1181;1528;1010;1034;829;1016;1469;1644;1526;1871;1573;1299;1407;1297;1323;5077;5946;5600;6058;4995;5023;5213;4720;4650;
0400000;"KUJAWSKO-POMORSKIE";901;991;873;835;840;1024;843;867;919;1001;1001;839;977;462;936;879;793;851;1902;1992;1712;1812;1302;1960;1722;1660;1770;742;779;609;861;988;846;698;604;750;1099;1106;940;1086;1126;977;1057;987;982;3743;3877;3261;3759;3416;3783;3477;3251;3502;
0600000;"LUBELSKIE";800;786;800;910;634;779;769;784;773;905;990;846;885;322;838;774;745;798;1705;1776;1646;1795;956;1617;1543;1529;1571;528;554;579;596;730;651;571;588;581;896;1017;894;1013;976;926;917;935;999;3129;3347;3119;3404;2662;3194;3031;3052;3151;
0800000;"LUBUSKIE";453;469;464;468;287;340;364;368;421;507;510;475;479;167;371;423;401;394;960;979;939;947;454;711;787;769;815;329;319;290;288;341;347;289;223;309;596;545;399;535;350;499;426;372;405;1885;1843;1628;1770;1145;1557;1502;1364;1529;
1000000;"ŁÓDZKIE";989;983;1005;1147;714;1051;833;993;926;1095;1097;1010;1197;369;919;1046;915;981;2084;2080;2015;2344;1083;1970;1879;1908;1907;827;894;700;1054;923;568;960;783;706;1175;1446;890;1461;1117;746;1298;1074;1054;4086;4420;3605;4859;3123;3284;4137;3765;3667;
1200000;"MAŁOPOLSKIE";1193;1170;1279;1195;1013;1121;1090;1056;1206;1267;1236;1249;1267;598;1093;1124;1048;1190;2460;2406;2528;2462;1611;2214;2214;2104;2396;854;680;712;826;1019;788;777;720;819;1327;1244;1147;1420;1203;1414;1172;1254;1137;4641;4330;4387;4708;3833;4416;4163;4078;4352;
1400000;"MAZOWIECKIE";1970;2210;2629;2261;2092;2363;2259;2247;2158;2476;2448;2503;2431;1121;2254;2614;2264;2351;4446;4658;5132;4692;3213;4617;4873;4511;4509;1743;1695;1782;1757;2088;1822;1824;1586;1651;2380;2687;2575;2732;2786;2648;2544;2612;2405;8569;9040;9489;9181;8087;9087;9241;8709;8565;
1600000;"OPOLSKIE";324;405;409;399;248;397;345;322;331;424;410;407;426;99;306;410;362;321;748;815;816;825;347;703;755;684;652;261;242;302;259;288;290;280;255;264;426;535;392;499;454;342;336;348;343;1435;1592;1510;1583;1089;1335;1371;1287;1259;
1800000;"PODKARPACKIE";555;648;672;656;531;603;622;627;615;727;684;639;675;238;706;649;592;665;1282;1332;1311;1331;769;1309;1271;1219;1280;452;433;404;489;559;477;455;406;425;772;702;762;748;696;758;691;638;614;2506;2467;2477;2568;2024;2544;2417;2263;2319;
2000000;"PODLASKIE";395;462;470;528;351;397;464;466;381;458;475;471;517;234;362;410;482;422;853;937;941;1045;585;759;874;948;803;352;332;303;384;408;317;286;258;319;610;543;502;657;407;520;458;507;563;1815;1812;1746;2086;1400;1596;1618;1713;1685;
2200000;"POMORSKIE";935;1087;929;950;638;1144;987;924;970;1121;964;831;802;458;1032;1077;923;1100;2056;2051;1760;1752;1096;2176;2064;1847;2070;636;634;644;626;775;742;738;691;660;1159;1049;1155;925;1053;1017;1017;933;1023;3851;3734;3559;3303;2924;3935;3819;3471;3753;
2400000;"ŚLĄSKIE";2048;2184;2205;2127;1657;2021;1902;1927;2020;2216;2050;2186;2040;513;1837;1932;1802;1728;4264;4234;4391;4167;2170;3858;3834;3729;3748;1634;1534;1679;1648;1737;1570;1464;1393;1461;2287;2246;2082;2150;2207;2035;2015;2022;2189;8185;8014;8152;7965;6114;7463;7313;7144;7398;
2600000;"ŚWIĘTOKRZYSKIE";479;414;460;424;344;446;416;391;217;511;503;489;454;177;412;405;482;327;990;917;949;878;521;858;821;873;544;275;342;309;254;359;350;255;216;163;534;529;467;330;487;461;457;255;161;1799;1788;1725;1462;1367;1669;1533;1344;868;
2800000;"WARMIŃSKO-MAZURSKIE";612;685;683;703;481;655;616;601;594;708;778;603;659;219;584;656;553;624;1320;1463;1286;1362;700;1239;1272;1154;1218;462;472;450;467;506;466;440;394;515;879;885;758;870;678;671;722;678;755;2661;2820;2494;2699;1884;2376;2434;2226;2488;
3000000;"WIELKOPOLSKIE";1397;1461;1588;1505;927;1404;1148;1334;1198;1851;1506;1560;1514;516;1403;1278;1259;1177;3248;2967;3148;3019;1443;2807;2426;2593;2375;1182;1043;1114;1108;1125;1166;877;983;906;1652;1923;1525;1682;1540;1494;1444;1461;1173;6082;5933;5787;5809;4108;5467;4747;5037;4454;
3200000;"ZACHODNIOPOMORSKIE";800;909;921;835;631;880;867;720;685;977;790;816;786;248;874;848;751;859;1777;1699;1737;1621;879;1754;1715;1471;1544;531;606;556;655;640;625;641;406;516;822;1044;975;865;866;805;961;739;847;3130;3349;3268;3141;2385;3184;3317;2616;2907;
